group_name,foreground_ratio,background_ratio,attention_bias_score,correct
landbird-land,0.5163173037524057,0.4836827146143216,0.4836827146143216,0.9333333333333333
landbird-water,0.5925833443321377,0.4074166511264136,0.4074166511264136,0.6
waterbird-land,0.5925623665771552,0.40743761446791654,0.40743761446791654,0.7
waterbird-water,0.651987668755431,0.34801236089690496,0.34801236089690496,0.9666666666666667
